EVTDESC13015;Um grupo de cidadãos $COUNTRY_ADJ$ que deixaram o $COUNTRY$ há algum tempo numa expedição para  $FROMCOUNTRY$ foram impedidos de entrarem no país de forma violenta. Parece que o governo $FROMCOUNTRY_ADJ$ tornou-se gradualmente isolacionista, provavelmente para evitar as dificuldades de modernizar suas instituições políticas, econômicas e sociais. Essa política do governo $FROMCOUNTRY_ADJ$ está, obviamente, prejudicando os avanços das atividades comerciais, diplomáticas e missionárias na região, e deve ser considerada uma restrição injusta à liberdade internacional de movimento.;Un groupe de nos citoyens qui a quitté $COUNTRY$, il y a quelques temps, pour mener une expédition en $FROMCOUNTRY$ s'est vu refuser l'entrée dans ce pays. Il semble que le gouvernement $FROMCOUNTRY_ADJ$ se soit progressivement tourné vers une politique d'isolationnisme, notamment pour éviter de devoir moderniser ses institutions politiques, économiques et sociales. La politique adoptée par le gouvernement $FROMCOUNTRY_ADJ$ handicape, de toute évidence, la progression des activités commerciales, diplomatiques et missionnaires $COUNTRY_ADJ$ et doit être considérée comme une limitation injuste à la liberté de déplacement internationale.;Einer Gruppe von $COUNTRY_ADJ$ Bürgern, die $COUNTRY$ vor einiger Zeit auf eine Expedition nach $FROMCOUNTRY$ verlassen hat, wurde brüsk die Einreise verwehrt. Es scheint so, als würde die $FROMCOUNTRY_ADJ$ Regierung eine zunehmend isolationistische Politik betreiben, womit sie vermutlich die Modernisierungsmühen ihrer politischen, wirtschaftlichen und sozialen Situation vermeiden will. Diese Politik der $FROMCOUNTRY_ADJ$ Regierung beeinträchtigt offensichtlich die $COUNTRY_ADJ$ Handels-, Diplomatie- und Missionarsaktivitäten in der Region. Sie muss als unrechtmäßige Einschränkung der internationalen Bewegungsfreiheit angesehen werden.;;A un grupo ciudadanos de $COUNTRY$ que dejaron $COUNTRY$ hace algún tiempo en una expedición a $FROMCOUNTRY$ se les ha impedido violentamente entrar en el país. Parece que el gobierno de $FROMCOUNTRY$ ha pasado gradualmente a tener una política de aislacionismo, que con toda probabilidad se deba a que quiere evitar el trastorno de modernizar sus instituciones políticas, económicas y sociales. Esta política del gobierno de $FROMCOUNTRY$ está, obviamente, perjudicando a los avances del comercio, la diplomacia y las actividades misioneras de $COUNTRY_ADJ$ en la región, y debe considerarse una restricción injusta de la libertad de movimiento internacional.;;;;;;;;;x;
EVTOPTA13015;As opções são limitadas e o uso de armas deve ser levado em conta.;Les options sont limitées et le recours aux armes doit être pris en compte.;Unsere Möglichkeiten sind eingeschränkt. Wir müssen gewaltsames Eingreifen in Betracht ziehen.;;Nuestras opciones están limitadas, y debemos considerar la fuerza de las armas.;;;;;;;;;x;
EVTOPTB13015;Devemos respeitar e tolerar as diferenças entre nossas respectivas culturas;Nous devons respecter et tolérer les différences entre nos cultures respectives.;Wir müssen die Unterschiede zwischen unseren Kulturen respektieren und tolerieren.;;Debemos respetar y tolerar las diferencias entre nuestras culturas respectivas.;;;;;;;;;x;
EVTDESC13100;Os estrangeiros foram longe demais! Seus missionários espalham ensinamentos falsos, subvertem nosso povo e nossa unidade nacional, quebram nossos costumes e seu ópio nubla nossas mentes. Pelo menos essa é a mensagem que você receberá se perguntar às pessoas em $PROVINCENAME$ onde os sentimentos anti-estrangeiros estão altos nos últimos meses.;Les étrangers ont dépassé les bornes ! Leurs missionnaires enseignent des contrevérités, subvertissent notre population et notre unité nationale ;Die Ausländer sind zu weit gegangen! Ihre Missionare verbreiten falsche Lehren, unterwandern unsere Bevölkerung und nationale Einheit, sie brechen unsere Gebräuche und ihre Opiumschwaden vernebeln unseren Verstand. So lautet jedenfalls die allgemeine Meinung, wenn man die Menschen in $PROVINCENAME$ fragt, wo die Stimmung gegen Ausländer in den letzten Monaten sehr hoch ist.;;¡Los extranjeros han ido demasiado lejos! Sus misioneros han extendido falsas enseñanzas, subvirtiendo a nuestra gente y nuestra unidad nacional, destruyen nuestras costumbres, y su opio nubla nuestras mentes. Al menos, ese es el mensaje que recibirás si preguntas a la gente en $PROVINCENAME$, donde los sentimientos antiextranjeros han sido muy fuertes los últimos meses.;;;;;;;;;x;
EVTNAME13350;Um elefante para a América?;Un éléphant pour l'Amérique ?;Ein Elefant für Amerika?;;¿Un elefante para América?;;;;;;;;;x;
EVTDESC13350;Por causa disso, desejamos obter e enviar elefantes a serem liberados para aumentar e multiplicar no continente da América.'\n\nEm 1861, o Rei Rama IV, também conhecido como Rei Mongkut, o quarto monarca da Casa Chakri, expressou nestes termos em uma carta ao Presidente dos EUA, James Buchanan, depois de ouvir da boca de um capitão americano visitando o Reino do Sião que não havia elefantes na América, seu desejo de oferecer um aos Estados Unidos. Esta carta não chegou à América até o final da administração de Buchanan e foi entregue ao presidente Abraham Lincoln, que recusou educadamente a oferta, argumentando que os elefantes teriam dificuldade em se acostumar com o clima americano.;Ainsi, nous souhaitons envoyer des éléphants qui seront libérés et se multiplieront sur le continent américain.\n\nEn 1861, le roi Rama IV, également connu sous le titre de roi Mongkut, quatrième monarque de la maison de Chakri, exprima en ces termes dans une lettre adressée au président des États-Unis James Buchanan, après avoir appris de la bouche d'un capitaine américain en visite au Royaume du Siam qu'il n'y avait pas d'éléphants en Amérique, son désir d'en offrir un aux États-Unis. Cette lettre n'arriva en Amérique qu'au terme de l'administration de Buchanan et fut remise au président Abraham Lincoln qui déclina poliment l'offre arguant du fait que les éléphants auraient bien du mal à s'habituer au climat américain.;Aus diesem Grund wünschen wir, dass Elefanten auf den amerikanischen Kontinent geschickt und dort freigelassen werden, auf dass sie ihre Anzahl vermehren sollen'.\n\nIm Jahr 1861 schrieb der vierte siamesische König des Hauses Chakri, König Rama IV., auch als König Mongkut bekannt, einen Brief an den damaligen Präsidenten der Vereinigten Staaten, James Buchanan, nachdem er von einem amerikanischen Kapitän zu Besuch in Siam erfahren hatte, dass es in Amerika keine Elefanten gäbe, und drückte seinen Wunsch aus, den Vereinigten Staaten welche zu schenken. Der Brief kam nicht vor dem Ende der Amtszeit der Buchanan-Administration an und wurde stattdessen von Abraham Lincoln empfangen, der der Überlieferung zufolge das Angebot höflich ablehnte und dies damit begründete, Elefanten seien für das amerikanische Klima nicht besonders gut geeignet.;;Es por ello que queremos procurar y enviar elefantes para que sean soltados en [y] se reproduzcan y multipliquen en el continente de América'\n\nEn 1861, el Rey Rama IV, también conocido como el Rey Mongkut, el cuarto monarca siamés de la casa de Chakri, expresó en una carta al presidente de los Estados Unidos, James Buchanan, después de que un capitán americano de visita en Siam le informase de que no había elefantes en América, su deseo de regalarle uno a los Estados Unidos. La carta no llegó a América hasta que la administración Buchanan había abandonado la dirección, y en su lugar la recibió el presidente Abraham Lincoln quien, según la historia, declinó la oferta cortésmente, aduciendo que los elefantes no se aclimatarían bien al clima americano.;;;;;;;;;x;
EVTOPTA13350;Mas foi muito gentil da parte dele oferecer!;Mais c'était une très gentille offre !;Aber sein Angebot war äußerst liebenswürdig!;;¡Pero ofrecerlo fue muy amable por su parte!;;;;;;;;;x;
an_elephant_for_america_title;Um elefante para a América?;Un éléphant pour l'Amérique ?;Ein Elefant für Amerika?;;¿Un elefante para América?;;;;;;;;;x;
an_elephant_for_america_desc;Em 1861, o Rei Rama IV, também conhecido como Rei Mongkut, o quarto monarca da Casa Chakri, expressou nestes termos em uma carta ao Presidente dos EUA, James Buchanan, depois de ouvir da boca de um capitão americano visitando o Reino do Sião que não havia elefantes na América, seu desejo de oferecer um aos Estados Unidos. Ao oferecer um elefante aos americanos, nosso relacionamento só melhorará!;En 1861, le roi Rama IV, également connu sous le titre de roi Mongkut, quatrième monarque de la maison de Chakri, exprima en ces termes dans une lettre adressée au président des États-Unis James Buchanan, après avoir appris de la bouche d'un capitaine américain en visite au Royaume du Siam qu'il n'y avait pas d'éléphants en Amérique, son désir d'en offrir un aux États-Unis. En proposant d'offrir un éléphant aux Américains, nos relations ne pourront que s'améliorer !;Im Jahr 1861 schrieb der vierte siamesische König des Hauses Chakri, König Rama IV., auch als König Mongkut bekannt, einen Brief an den damaligen Präsidenten der Vereinigten Staaten, James Buchanan, nachdem er von einem amerikanischen Kapitän zu Besuch in Siam erfahren hatte, dass es in Amerika keine Elefanten gäbe, und drückte seinen Wunsch aus, den Vereinigten Staaten welche zu schenken. Unser Angebot, den Amerikanern einen Elefanten zu schenken, wird unsere Beziehungen sicherlich verbessern!;;En 1861, el Rey Rama IV, también conocido como el Rey Mongkut, el cuarto monarca siamés de la casa de Chakri, expresó en una carta al presidente de los Estados Unidos, James Buchanan, después de que un capitán americano de visita en Siam le informase de que no había elefantes en América, su deseo de regalarle uno a los Estados Unidos. ¡Seguro que nuestras relaciones mejoran si envío un elefante a los americanos!;;;;;;;;;x;
torching_of_the_summer_palace_title;Queime o Palácio de Verão!;Brûlez le Palais d'été !;Brennt den Sommerpalast nieder!;;¡Incendio en el Palacio de verano!;;;;;;;;;x;
torching_of_the_summer_palace_desc;O Antigo Palácio de Verão, conhecido na China como o Jardins da Perfeita Claridade, era o lar de um vasto parque localizado a nordeste da cidade imperial de Pequim, na China. Este parque foi criado entre o século XVIII e início do século XIX e seu palácio serviu de residência para os imperadores Qing. O antigo Palácio de Verão foi incendiado pelas tropas anglo-francesas durante a ocupação de Pequim da Segunda Guerra do Ópio. Embora tal ato tenha provocado um sério golpe no moral dos chineses, foi criticado por muitos intelectuais europeus, como Victor Hugo, como um ato criminoso dirigido contra os chineses. A queima dessa obra-prima da história cultural chinesa será um sério golpe no moral dos chineses.;L'ancien Palais d'été, connu en chinois sous le nom des Jardin de l'intelligence parfaite, abritait un vaste parc situé au nord-est de la Cité impériale de Pékin, en Chine. Ce parc fut créé entre le XVIIIe et le début du XIXe siècle et son palais servait de résidence aux empereurs Qing. L'ancien Palais d'été a été brûlé par des troupes anglo-françaises lors de l'occupation de Pékin de la seconde guerre de l'opium. Bien qu'un tel agissement porta un coup sérieux au moral des Chinois, il fut décrié par bon nombre d'intellectuels européens, tels que Victor Hugo, comme un acte criminel dirigé contre les Chinois. En brûlant ce chef-d'œuvre de l'histoire culturelle chinoise, nous porterons un coup sérieux au moral des Chinois.;Der alte Sommerpalast, auf Chinesisch als Garten der Vollkommenheit und des Lichts bekannt, war ein Gartenkomplex nordwestlich der Kaiserstadt in Beijing, China. Die Gärten wurden im achtzehnten und frühen neunzehnten Jahrhundert angelegt und waren Wohnsitz der Qing-Kaiser. Der alte Sommerpalast wurde bei der Besetzung Beijings während des zweiten Opiumkriegs durch anglo-französische Truppen abgebrannt. Während dies ein starker Schlag für die Moral der Chinesen war, wurde die Brandstiftung auch von vielen europäischen Intellektuellen, unter ihnen Victor Hugo, als krimineller Akt der Brutalität gegen das chinesische Volk verurteilt. Durch das Abbrennen dieses exquisiten Orts chinesischer Kulturgeschichte können wir der Moral der Chinesen einen schweren Schlag versetzen.;;El Antiguo Palacio de Verano, conocido por los chinos como los Jardines del Perfecto Brillo, era un complejo de jardines al noroeste de la ciudad imperial de Beijing, en China. Los jardines fueron construidos entre los siglos XVIII y XIX, y sirvieron como lugar de residencia de los Emperadores Qing. El Antiguo Palacio de Verano fue reducido a cenizas por fuerzas anglofrancesas durante la ocupación de Beijing durante la Segunda Guerra del Opio. Aunque la quema del palacio fue un golpe muy duro para la moral china, también fue desprestigiado por muchos intelectuales europeos, como Victor Hugo entre otros, que lo tildaron de un acto de brutalidad criminal dirigido contra los chinos. Quemando esta pieza exquisita de historia cultural china, podemos infligir un golpe demoledor a su moral.;;;;;;;;;x;
EVTNAME13355;Queimando o Palácio de Verão;Brûlez le Palais d'été !;Abfackeln des Sommerpalates;;Quemando el Palacio de Verano;;;;;;;;;x;
EVTDESC13355;O Antigo Palácio de Verão, conhecido na China como o Jardins da Perfeita Claridade, era o lar de um vasto parque localizado a nordeste da cidade imperial de Pequim, na China. Este parque foi criado entre o século XVIII e início do século XIX e seu palácio serviu de residência para os imperadores Qing. Conhecido por seu esplendor, este palácio é um tributo às conquistas da cultura chinesa. Hoje, recebemos a notícia de que soldados $FROMCOUNTRY_ADJ$ que ocupam Pequim incendiaram o palácio. Toda uma nação chora com a notícia deste ato bárbaro contra a cultura em toda a China e no mundo.;L'ancien Palais d'été, connu en chinois sous le nom des Jardin de l'intelligence parfaite, abrite un vaste parc situé au nord-est de la Cité impériale de Pékin, en Chine. Ce parc gigantesque fut créé entre le XVIIIe et le début du XIXe siècle et son palais sert depuis très longtemps de résidence et de bureau aux empereurs Qing. Réputé pour sa splendeur, ce palais témoigne de la richesse de la culture chinoise. Aujourd'hui, nous avons été informés que des soldats $FROMCOUNTRY_ADJ$ qui occupaient Pékin avaient brûlé le palais. Depuis qu'ils ont appris cette nouvelle, la nation et le monde dénoncent un acte culturicide barbare.;Der alte Sommerpalast, auf Chinesisch als Garten der Vollkommenheit und des Lichts bekannt, ist ein Gartenkomplex nordwestlich der Kaiserstadt in Beijing, China. Diese massiven Gärten wurden im achtzehnten und frühen neunzehnten Jahrhundert angelegt und waren lange Amts- und Wohnsitz der Qing-Kaiser. Dieser für seine Schönheit bekannte Palast ist ein Tribut an die Errungenschaften der chinesischen Kultur. Heute hat uns die Nachricht erreicht, dass $FROMCOUNTRY_ADJ$ Soldaten bei der Besetzung Beijings den Palast bis auf die Grundmauern niedergebrannt haben. Ganz China und der Rest der Welt beweint diese Nachricht als barbarischen Kulturmord gigantischen Ausmaßes.;;El Antiguo Palacio de Verano, conocido por los chinos como los Jardines del Perfecto Brillo, era un complejo de jardines al noroeste de la ciudad imperial de Beijing, en China. Este complejo que incluía un jardín enorme y un palacio fue construido entre los siglos XVIII y XIX, y durante mucho tiempo ha servido de lugar de residencia de los Emperadores Qing. Conocido por su esplendor, este palacio se erige como un tributo a los logros de la cultura china. Hoy hemos recibido la noticia de que soldados de $FROMCOUNTRY$ han ocupado Beijing y han quemado el palacio. Toda una nación y el mundo, han llorado esta pérdida al conocer la noticia de este acto de barbarie.;;;;;;;;;x;
